"filename", "language", "JSON", "PHP", "JavaScript", "CSS", "Markdown", "pip requirements", "Python", "comment", "blank", "total"
"c:\xampp\htdocs\maacro-v2\api\app.py", "Python", 0, 0, 0, 0, 0, 0, 304, 0, 97, 401
"c:\xampp\htdocs\maacro-v2\api\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 15, 0, 0, 0, 15
"c:\xampp\htdocs\maacro-v2\api\utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\maacro-v2\cleanseTest.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\xampp\htdocs\maacro-v2\components\components.php", "PHP", 0, 103, 0, 0, 0, 0, 0, 0, 19, 122
"c:\xampp\htdocs\maacro-v2\forms\aggregate.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\forms\cleanse.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 9, 94
"c:\xampp\htdocs\maacro-v2\forms\deduplicate.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\xampp\htdocs\maacro-v2\forms\derive.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\forms\download.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\forms\format-revise.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"c:\xampp\htdocs\maacro-v2\forms\join.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 7, 59
"c:\xampp\htdocs\maacro-v2\forms\merge.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 7, 61
"c:\xampp\htdocs\maacro-v2\forms\statistics.php", "PHP", 0, 86, 0, 0, 0, 0, 0, 0, 10, 96
"c:\xampp\htdocs\maacro-v2\forms\upload.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\forms\visualize.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 0, 9, 79
"c:\xampp\htdocs\maacro-v2\index.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 8, 77
"c:\xampp\htdocs\maacro-v2\js\dropdown.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\xampp\htdocs\maacro-v2\js\holy-cleanse.js", "JavaScript", 0, 0, 137, 0, 0, 0, 0, 0, 18, 155
"c:\xampp\htdocs\maacro-v2\js\holy-deduplicate.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 0, 14, 91
"c:\xampp\htdocs\maacro-v2\js\holy-join.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 18, 91
"c:\xampp\htdocs\maacro-v2\js\holy-merge.js", "JavaScript", 0, 0, 87, 0, 0, 0, 0, 0, 20, 107
"c:\xampp\htdocs\maacro-v2\js\holy-preview.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\maacro-v2\js\holy-revise.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 13, 75
"c:\xampp\htdocs\maacro-v2\js\holy-statistics.js", "JavaScript", 0, 0, 131, 0, 0, 0, 0, 0, 26, 157
"c:\xampp\htdocs\maacro-v2\js\holy-table.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 11, 71
"c:\xampp\htdocs\maacro-v2\js\holy-visualize.js", "JavaScript", 0, 0, 142, 0, 0, 0, 0, 0, 28, 170
"c:\xampp\htdocs\maacro-v2\js\snackbar.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\maacro-v2\js\utils.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 0, 11, 70
"c:\xampp\htdocs\maacro-v2\script.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 8, 58
"c:\xampp\htdocs\maacro-v2\styles.css", "CSS", 0, 0, 0, 506, 0, 0, 0, 7, 95, 608
"c:\xampp\htdocs\maacro-v2\test.json", "JSON", 3815, 0, 0, 0, 0, 0, 0, 0, 1, 3816
"c:\xampp\htdocs\maacro-v2\test2.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\xampp\htdocs\maacro-v2\test3.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\maacro-v2\test4.json", "JSON", 1102, 0, 0, 0, 0, 0, 0, 0, 1, 1103
"c:\xampp\htdocs\maacro-v2\todo.md", "Markdown", 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"c:\xampp\htdocs\maacro-v2\utils.css", "CSS", 0, 0, 0, 39, 0, 0, 0, 0, 10, 49
"c:\xampp\htdocs\maacro-v2\utils.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 5007, 604, 911, 545, 68, 15, 304, 7, 466, 7927